DATE,GEOCODE,VARIABLE,COUNT,RATE
4/26/25,101,COVID-19,55,53.63
4/26/25,102,COVID-19,74,36.87
4/26/25,103,COVID-19,98,38.78
4/26/25,104,COVID-19,99,32.93
4/26/25,105106107,COVID-19,444,243.88
4/26/25,201,COVID-19,29,18.93
4/26/25,202,COVID-19,51,18.37
4/26/25,203,COVID-19,77,21.81
4/26/25,204,COVID-19,40,20.16
4/26/25,205,COVID-19,34,29.17
4/26/25,206,COVID-19,91,26.44
4/26/25,207,COVID-19,79,26.18
4/26/25,208,COVID-19,66,31.46
4/26/25,209,COVID-19,66,29.78
4/26/25,210,COVID-19,74,23.5
4/26/25,211,COVID-19,52,23.62
4/26/25,301,COVID-19,68,26.3
4/26/25,302,COVID-19,47,24.27
4/26/25,303,COVID-19,56,45.42
4/26/25,304,COVID-19,63,21.77
4/26/25,305307,COVID-19,200,114.52
4/26/25,306308,COVID-19,100,90.38
4/26/25,309310,COVID-19,110,119.21
4/26/25,401,COVID-19,62,28.08
4/26/25,402,COVID-19,141,28.98
4/26/25,403,COVID-19,92,31.28
4/26/25,404406,COVID-19,110,114.26
4/26/25,405,COVID-19,75,26.57
4/26/25,407,COVID-19,78,27.42
4/26/25,408,COVID-19,117,35.95
4/26/25,409,COVID-19,94,40.68
4/26/25,410,COVID-19,31,24.19
4/26/25,501502,COVID-19,108,116.27
4/26/25,503504,COVID-19,180,129.97
4/26/25,101,Influenza,23,27.95
4/26/25,102,Influenza,45,23.85
4/26/25,103,Influenza,64,25.84
4/26/25,104,Influenza,71,24.93
4/26/25,105106107,Influenza,366,202.46
4/26/25,201,Influenza,21,13.79
4/26/25,202,Influenza,39,15.19
4/26/25,203,Influenza,36,10.07
4/26/25,204,Influenza,25,13.34
4/26/25,205,Influenza,17,15.21
4/26/25,206,Influenza,42,12.42
4/26/25,207,Influenza,32,11.88
4/26/25,208,Influenza,28,17.17
4/26/25,209,Influenza,23,12.44
4/26/25,210,Influenza,36,14.55
4/26/25,211,Influenza,24,10.02
4/26/25,301,Influenza,40,16.85
4/26/25,302,Influenza,33,17.81
4/26/25,303,Influenza,16,14.08
4/26/25,304,Influenza,37,21.51
4/26/25,305307,Influenza,106,75.25
4/26/25,306308,Influenza,82,73.44
4/26/25,309310,Influenza,84,100.48
4/26/25,401,Influenza,32,16.09
4/26/25,402,Influenza,73,17.44
4/26/25,403,Influenza,38,17.81
4/26/25,404406,Influenza,74,88.03
4/26/25,405,Influenza,34,13.74
4/26/25,407,Influenza,42,16.1
4/26/25,408,Influenza,71,24.89
4/26/25,409,Influenza,28,14.33
4/26/25,410,Influenza,17,14.8
4/26/25,501502,Influenza,86,99.73
4/26/25,503504,Influenza,84,72.03
4/26/25,101,RSV,,
4/26/25,102,RSV,,
4/26/25,103,RSV,7,2.84
4/26/25,104,RSV,,
4/26/25,105106107,RSV,36,19.33
4/26/25,201,RSV,,
4/26/25,202,RSV,5,1.92
4/26/25,203,RSV,5,1.4
4/26/25,204,RSV,,
4/26/25,205,RSV,,
4/26/25,206,RSV,,
4/26/25,207,RSV,7,2.68
4/26/25,208,RSV,,
4/26/25,209,RSV,5,2.36
4/26/25,210,RSV,7,2.23
4/26/25,211,RSV,,
4/26/25,301,RSV,,
4/26/25,302,RSV,,
4/26/25,303,RSV,,
4/26/25,304,RSV,,
4/26/25,305307,RSV,20,13.52
4/26/25,306308,RSV,,
4/26/25,309310,RSV,10,8.87
4/26/25,401,RSV,5,2.52
4/26/25,402,RSV,6,1.3
4/26/25,403,RSV,11,5.48
4/26/25,404406,RSV,12,11.16
4/26/25,405,RSV,,
4/26/25,407,RSV,12,5.09
4/26/25,408,RSV,,
4/26/25,409,RSV,,
4/26/25,410,RSV,,
4/26/25,501502,RSV,10,10.2
4/26/25,503504,RSV,8,6.03
