DATE,GEOCODE,VARIABLE,COUNT,RATE
12/28/24,101,COVID-19,31,32.59
12/28/24,102,COVID-19,67,31.87
12/28/24,103,COVID-19,58,23.07
12/28/24,104,COVID-19,75,25.42
12/28/24,105106107,COVID-19,90,16.13
12/28/24,201,COVID-19,22,13.83
12/28/24,202,COVID-19,41,15.72
12/28/24,203,COVID-19,53,14.92
12/28/24,204,COVID-19,40,20.42
12/28/24,205,COVID-19,31,26.18
12/28/24,206,COVID-19,68,19.54
12/28/24,207,COVID-19,43,14.42
12/28/24,208,COVID-19,42,18.94
12/28/24,209,COVID-19,51,24.17
12/28/24,210,COVID-19,92,30.51
12/28/24,211,COVID-19,29,13.24
12/28/24,301,COVID-19,34,13.19
12/28/24,302,COVID-19,30,15.08
12/28/24,303,COVID-19,23,19.71
12/28/24,304,COVID-19,47,18.65
12/28/24,305307,COVID-19,71,17.94
12/28/24,306308,COVID-19,36,14.75
12/28/24,309310,COVID-19,52,19.35
12/28/24,401,COVID-19,42,18.62
12/28/24,402,COVID-19,94,20.04
12/28/24,403,COVID-19,64,25.5
12/28/24,404406,COVID-19,70,33.78
12/28/24,405,COVID-19,54,19.79
12/28/24,407,COVID-19,52,18.39
12/28/24,408,COVID-19,74,23.66
12/28/24,409,COVID-19,42,18.16
12/28/24,410,COVID-19,43,32.39
12/28/24,501502,COVID-19,79,38.48
12/28/24,503504,COVID-19,165,51.93
12/28/24,101,Influenza,153,189.72
12/28/24,102,Influenza,319,176.02
12/28/24,103,Influenza,486,195.85
12/28/24,104,Influenza,637,227.9
12/28/24,105106107,Influenza,874,155.31
12/28/24,201,Influenza,153,103.39
12/28/24,202,Influenza,233,96.29
12/28/24,203,Influenza,377,111.55
12/28/24,204,Influenza,303,159.55
12/28/24,205,Influenza,111,100.27
12/28/24,206,Influenza,599,173
12/28/24,207,Influenza,343,127.01
12/28/24,208,Influenza,237,134.72
12/28/24,209,Influenza,269,147.01
12/28/24,210,Influenza,476,185.94
12/28/24,211,Influenza,323,147.71
12/28/24,301,Influenza,286,127.33
12/28/24,302,Influenza,231,133.94
12/28/24,303,Influenza,165,150.26
12/28/24,304,Influenza,181,89.43
12/28/24,305307,Influenza,355,119.48
12/28/24,306308,Influenza,197,103.63
12/28/24,309310,Influenza,246,120.24
12/28/24,401,Influenza,274,144.95
12/28/24,402,Influenza,778,185.07
12/28/24,403,Influenza,314,157.99
12/28/24,404406,Influenza,300,183.71
12/28/24,405,Influenza,367,160.58
12/28/24,407,Influenza,401,156.24
12/28/24,408,Influenza,447,152.77
12/28/24,409,Influenza,269,147.24
12/28/24,410,Influenza,168,138.88
12/28/24,501502,Influenza,320,166.95
12/28/24,503504,Influenza,519,190.63
12/28/24,101,RSV,36,44.53
12/28/24,102,RSV,95,56.57
12/28/24,103,RSV,117,47.17
12/28/24,104,RSV,167,61.79
12/28/24,105106107,RSV,316,55.67
12/28/24,201,RSV,38,24.96
12/28/24,202,RSV,64,25.44
12/28/24,203,RSV,118,36.55
12/28/24,204,RSV,87,48.27
12/28/24,205,RSV,46,43.19
12/28/24,206,RSV,154,41.56
12/28/24,207,RSV,107,42.79
12/28/24,208,RSV,71,42.68
12/28/24,209,RSV,72,41.99
12/28/24,210,RSV,157,66.66
12/28/24,211,RSV,80,37.98
12/28/24,301,RSV,77,37.18
12/28/24,302,RSV,46,29.67
12/28/24,303,RSV,66,67
12/28/24,304,RSV,51,30.84
12/28/24,305307,RSV,138,62.5
12/28/24,306308,RSV,54,41.04
12/28/24,309310,RSV,66,38.85
12/28/24,401,RSV,101,61.55
12/28/24,402,RSV,169,41.56
12/28/24,403,RSV,126,67.88
12/28/24,404406,RSV,89,58.66
12/28/24,405,RSV,126,60.11
12/28/24,407,RSV,115,47.61
12/28/24,408,RSV,110,40.78
12/28/24,409,RSV,84,49.73
12/28/24,410,RSV,50,39.91
12/28/24,501502,RSV,127,71.91
12/28/24,503504,RSV,191,81.24
